fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
STACK_TOTAL symmetric-edges-100-partitions-10 0 384
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Analyzer.analyze 4
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Analyzer.candidatesFor 2
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Analyzer.checkDatabase 4
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Analyzer.checkRight 4
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker$3.run 164
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker$4.run 336
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.access$1 22
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.access$2 81
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.access$3 59
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.access$4 193
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.access$5 335
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.calcFunctions 2
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.checkSystem 2
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.getSolveCandidates 16
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.isValidFor 193
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.link 378
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.linkDatabase 59
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.linkDomains 81
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.markExcluded 18
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.rotateVariables 370
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.rotator 378
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.selectDomainCandidates 22
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.synchronizeSolveIndex 152
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Linker.updateDatabase 8
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.<init> 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.addTSolve 8
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.analyze 4
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.finalizeTransactionRootLocked 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.findTSolve 7
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.finishTransactionLocked 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.getTerms 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.isUnitDeleted 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.link 378
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.pack 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.query 384
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.queryCheckFalse 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.queryCheckTrue 383
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.Mind.release 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.SemanticEffectTelemetry.recordTSolve 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.TValueBaselineBenchmarkRunner.bench 384
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.TValueBaselineBenchmarkRunner.main 384
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.TValueBaselineBenchmarkRunner.run 384
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.TechnicalMindTransaction.<init> 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.TechnicalMindTransaction.begin 1
STACK_INCLUSIVE symmetric-edges-100-partitions-10 0 org.kanger.TechnicalMindTransaction.rollback 1
